0,
1,Roll the dice and unleash the excitement!
2,Still Yelling. Still Fighting. Still Ready for Love.
3,Friends are the people who let you be yourself... and never let you forget it.
4,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!
5,A Los Angeles Crime Saga
6,You are cordially invited to the most surprising merger of the year.
7,The Original Bad Boys.
8,Terror goes into overtime.
9,No limits. No fears. No substitutes.
10,Why can't the most powerful man in the world have the one thing he wants most?
11,
12,Part Dog. Part Wolf. All Hero.
13,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
14,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
15,No one stays at the top forever.
16,Lose your heart and come to your senses.
17,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
18,New animals. New adventures. Same hair.
19,"Get on, or GET OUT THE WAY!"
20,"The mob is tough, but it’s nothing like show business."
21,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
22,"In the shadows of life, In the business of death, One man found a reason to live..."
23,An extraordinary encounter with another human being.
24,I Love You... The Way You Are.
25,"Envy, greed, jealousy and love."
26,In every woman there is the girl she left behind.
27,
28,Where happily ever after is just a dream.
29,In 1930's Shanghai violence was not the problem. It was the solution.
30,She broke the rules... and changed their lives.
31,The future is history.
32,A little pig goes a long way.
33,A Love so Unusual it has to be True
34,
35,
36,Two identical strangers. Two different worlds. One perfect match.
37,Sex. Clothes. Popularity. Is there a problem here?
38,
39,"I can smile, and murder while I smile"
40,"In this daring heist, the only color that counts is green"
41,
42,Nothing In This World Has Prepared You For This.
43,All she wanted was a little attention.
44,There's beauty in the patterns of life.
45,Seven deadly sins. Seven ways to die.
46,An American legend comes to life.
47,
48,Five Criminals. One Line Up. No Coincidence.
49,
50,
51,The biggest kick of the year!
52,The toughest act to follow was their dreams.
53,We'll do it every year..until we get it right
54,
55,
56,
57,What do you do when justice fails?
58,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
59,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time."
60,"A new comedy about love, laughter, and larceny"
61,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?
62,"God made him simple. Science made him a god. Now, he wants revenge."
63,
64,A lot can go down between thursday and saturday...
65,One night is all that stands between them and freedom. But it's going to be a hell of a night.
66,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...
67,Anxiety loves company.
68,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined."
69,He gave her flowers. She gave him a chance.
70,The last scream you hear will be your own.
71,
72,"...some lives cross, others collide."
73,There is no defense.
74,
75,Protect. Love. Honor. Avenge.
76,A motion picture that celebrates everything you love about life.
77,
78,
79,An elegant seduction. An erotic deception. A stunning revelation.
80,
81,He's about to turn a Five Star Hotel into a three ring circus.
82,There's one in every family.
83,
84,The untold story of Jekyll and Hyde
85,A comic tale of horror and seduction.
86,"Good times never seemed so good,"
87,Prepare to Go Ballistic.
88,The drama. The passion. The intrigue... And the rehearsals haven't even started.
89,Three Young Friends... One Last Chance.
90,No one leaves without paying...
91,   
92,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.
93,"They're not really criminals, but everyone's got to have a dream."
94,
95,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.
96,He doesn't play golf... he destroys it.
97,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...
98,Set sail for Muppet mayhem!
99,"The moment when fashion, art and entertainment come together with stunning force and beauty."
100,Every man dies. Not every man truly lives.
101,"On every street in every city, there's a nobody who dreams of being a somebody."
102,No Fear. No Stuntman. No Equal.
103,A murder. A suspect. A shadow of a doubt.
104,She found a way to preserve her memories forever.
105,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?"
106,
107,A comedy for the romantically challenged.
108,Two brothers. One fortune. Zero chance they'll share it.
109,
110,A Player Who's About to be Played.
111,What a difference a day makes
112,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true..."
113,"A comedy about sex, love, family and other accidents waiting to happen."
114,It's a brand new beginning in the adventure that never ends
115,The only thing that stands in the way of fate and true love is a little traffic.
116,
117,Sometimes the brightest star is the one that shines within.
118,Some fantasies go too far.
119,"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up."
120,He as a centerfold who revealed everything ... but the truth.
121,"Every Day we Have, is One More Than We Deserve."
122,Come as you are.
123,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.
124,Whatcha gonna do?
125,"In the sweeping highlands of China, a boy begins a magical journey to save the life of a natural wonder."
126,The true story of the death of innocence and the birth of an artist.
127,
128,"Accountancy, Murder, Amnesia, Torture, Ecstasy, Understanding, Redemption"
129,"Houston, we have a problem."
130,Honor made him a man. Courage made him a hero. History made him a legend.
131,The dark is their sunlight. What makes them different is what keeps them alive.
132,"Courage now, truth always..."
133,Luis Bunuel's Masterpiece of Erotica!
134,Truth has a witness
135,Welcome to the planet Brooklyn.
136,"I'll tell ya another thing, their beer sucks!"
137,Get an afterlife
138,"When there's murder on the streets, everyone is a suspect."
139,Where you are the endangered species.
140,Danger runs deep.
141,Weird sex · Obsession · Comic books
142,"When the smoke clears, it just means he's reloading."
143,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.
